Sun Apr  9 21:22:48 2017    restats

         203716413 function calls (165492090 primitive calls) in 70.339 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 extmath.py:752(_incremental_mean_and_var)
        1    0.000    0.000    0.000    0.000 data.py:633(transform)
        1    0.000    0.000    0.000    0.000 abc.py:148(__subclasscheck__)
        2    0.000    0.000    0.000    0.000 validation.py:49(_assert_all_finite)
        1    0.000    0.000    0.001    0.001 ag_comasa.py:86(register_toolbox)
        4    0.000    0.000    0.000    0.000 support.py:183(register)
        1    0.000    0.000    0.000    0.000 data.py:562(partial_fit)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:55(_wrapfunc)
        1    0.000    0.000    0.000    0.000 data.py:62(_handle_zeros_in_scale)
        4    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
        6    0.000    0.000    0.000    0.000 validation.py:159(<genexpr>)
        3    0.000    0.000    0.000    0.000 {method 'sum' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.000    0.000 _methods.py:31(_sum)
        2    0.000    0.000    0.000    0.000 validation.py:132(_shape_repr)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:42(_wrapit)
       12    0.000    0.000    0.000    0.000 support.py:468(<genexpr>)
        1    0.000    0.000    0.000    0.000 {method 'var' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 support.py:272(__init__)
        2    0.000    0.000    0.000    0.000 validation.py:111(_num_samples)
        1    0.000    0.000    0.000    0.000 copy_reg.py:95(_slotnames)
        1    0.000    0.000    0.000    0.000 validation.py:651(check_is_fitted)
        9    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 numeric.py:2160(isscalar)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        1    0.000    0.000    0.000    0.000 data.py:546(fit)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:504(transpose)
        1    0.000    0.000    0.000    0.000 support.py:505(__init__)
        1    0.000    0.000    0.000    0.000 numeric.py:463(asarray)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
        1    0.000    0.000    0.000    0.000 support.py:178(__init__)
        1    0.000    0.000    0.000    0.000 base.py:470(fit_transform)
        1    0.000    0.000    0.000    0.000 data.py:532(_reset)
        2    0.000    0.000    0.000    0.000 {globals}
        1    0.000    0.000    0.000    0.000 base.py:43(__init__)
        4    0.000    0.000    0.000    0.000 base.py:1081(isspmatrix)
        1    0.000    0.000    0.000    0.000 {method 'get' of 'dictproxy' objects}
        1    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        1    0.000    0.000    0.000    0.000 data.py:521(__init__)
        2    0.000    0.000    0.000    0.000 {method 'transpose' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
        6    0.000    0.000    0.000    0.000 {method 'expandtabs' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {all}
        1    0.000    0.000    0.000    0.000 _abcoll.py:98(__subclasshook__)
        1    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        2    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}

