time, fithttp://localhost:8888/notebooks/Experimentos%20comasa_vs_segmentsbatchs.ipynb#ness
49.98732, 48.46389
95.27684, 49.56344
141.92162, 36.44443
187.86836, 35.82695
237.17485, 29.74735
291.9356, 32.40951
338.24848, 27.92386
383.79745, 24.56224
429.86311, 28.22852
475.29962, 23.00582
520.82379, 18.66456
565.64467, 18.34453
611.37101, 17.51483
660.98977, 18.07985
706.64435, 18.31696
753.36633, 18.62138
803.0649, 19.86987
855.27862, 16.89021
910.33643, 18.31682
967.48304, 18.54326
1019.00983, 17.51157
1074.05912, 17.42462
1136.70166, 17.4598
1195.61754, 17.40296
1245.34871, 17.47645
1298.71138, 18.20792
1345.49016, 17.55715
1393.64878, 17.47092
1446.38356, 17.67453
1495.98427, 17.65012
