time, fithttp://localhost:8888/notebooks/Experimentos%20comasa_vs_segmentsbatchs.ipynb#ness
61.31298, 69.94911
122.18193, 68.22416
177.16016, 51.74926
223.33205, 48.8308
271.53411, 47.19666
320.62205, 40.54604
373.06226, 42.07345
423.41349, 38.41355
477.38692, 30.9216
524.53098, 30.43737
578.75598, 33.62201
629.58395, 29.4632
681.14709, 27.23871
731.68138, 26.67711
782.51405, 27.05206
832.83652, 24.30111
886.21523, 22.98986
938.8716, 21.61644
990.82629, 21.61548
1041.5318, 21.00012
1093.29847, 21.30052
1142.8417, 19.73522
1194.66132, 21.4541
1249.17202, 19.37573
1305.44, 20.3828
1356.62354, 19.13437
1406.59407, 19.33277
1467.78459, 19.19541
1529.40111, 19.23991
1580.85797, 19.06074
