time, fithttp://localhost:8888/notebooks/Experimentos%20comasa_vs_segmentsbatchs.ipynb#ness
16.20812, 28.64412
33.52966, 27.32119
50.89346, 28.61531
68.1149, 25.91779
85.16155, 25.91779
102.25013, 25.91779
119.60529, 25.84817
137.28819, 25.6409
154.40714, 25.55124
171.69028, 25.55124
189.26832, 25.4623
207.71533, 25.24162
225.91945, 24.86682
244.73715, 25.24162
263.4348, 24.86682
281.85714, 25.11045
300.23806, 24.98969
317.87032, 24.72284
335.87899, 24.72284
354.46901, 24.84647
372.10476, 24.76443
390.16968, 24.70432
410.18933, 24.70432
428.27107, 24.70432
447.90078, 24.62403
466.12325, 24.65919
483.85554, 24.57444
504.27468, 24.65919
522.80115, 24.5694
541.17985, 24.49847
558.90424, 24.49647
576.35685, 24.58671
593.8907, 24.48891
616.07951, 24.442
642.38945, 24.41625
663.71937, 24.43089
687.42912, 24.442
707.11091, 24.31768
726.79384, 24.31768
746.50615, 24.38253
