time, fithttp://localhost:8888/notebooks/Experimentos%20comasa_vs_segmentsbatchs.ipynb#ness
56.50541, 73.91649
114.89805, 59.73528
175.56251, 57.92418
234.79796, 51.56242
291.482, 46.82082
343.19127, 49.7663
393.56562, 44.624
449.06468, 40.43349
509.42102, 37.60509
565.61106, 35.90244
626.83042, 35.74187
680.62967, 34.46778
739.70252, 29.71631
794.83963, 28.78777
854.04752, 26.89455
907.76614, 25.00053
971.39912, 23.95157
1023.56612, 23.20966
1070.86487, 23.11909
1118.28035, 22.34591
1168.90449, 22.12694
1215.60621, 21.60165
1268.61852, 22.08003
1313.52006, 21.55346
1362.97554, 21.19031
1414.33339, 20.49502
1463.29803, 20.47872
1513.51731, 20.32848
1562.27192, 20.52361
1612.93544, 19.92334
1658.05684, 19.78444
1702.73866, 19.66877
1747.26195, 19.86554
