time, fithttp://localhost:8888/notebooks/Experimentos%20comasa_vs_segmentsbatchs.ipynb#ness
20.07268, 27.875
40.33792, 27.57818
61.15126, 27.23645
82.40052, 26.48834
103.29862, 26.93298
124.47364, 26.20977
145.54814, 26.5911
166.97737, 26.18253
187.9218, 25.77527
209.25589, 25.45052
230.82977, 25.60333
252.547, 25.62422
273.93161, 25.34037
294.91251, 25.19508
316.09445, 25.0741
337.42946, 25.0653
358.65444, 24.99708
380.42586, 24.89031
401.71637, 24.94298
423.31762, 24.77833
445.06344, 24.73761
466.56842, 24.8301
488.06176, 24.72799
509.62235, 24.52246
530.9623, 24.52406
552.34141, 24.44107
573.35958, 24.50018
594.17477, 24.34108
615.8457, 24.34221
637.74685, 24.34414
659.15877, 24.33498
680.8833, 24.31331
702.27733, 24.33406
