time, fithttp://localhost:8888/notebooks/Experimentos%20comasa_vs_segmentsbatchs.ipynb#ness
25.37064, 29.55003
48.74853, 24.58391
72.54279, 23.80085
95.96479, 23.38225
119.96672, 22.53844
146.57153, 22.452
173.68067, 22.85413
198.09947, 22.31119
225.89324, 22.1341
252.74364, 21.92711
278.40713, 22.80983
302.67305, 21.97053
330.58561, 21.93831
358.40591, 21.89218
382.83771, 21.86557
416.37546, 21.73307
442.01256, 21.53924
466.94094, 21.63318
493.72469, 21.36363
519.83722, 21.42318
544.77082, 22.57857
569.37073, 21.33917
592.69931, 21.33917
616.13107, 21.28261
639.68047, 22.71631
663.45479, 21.18561
686.85146, 21.21036
710.703, 21.15535
738.53673, 21.08542
766.46849, 21.13034
