time, fithttp://localhost:8888/notebooks/Experimentos%20comasa_vs_segmentsbatchs.ipynb#ness
38.14514, 79.86971
84.1206, 56.99554
118.9177, 56.92612
156.09058, 56.25273
193.94574, 53.92562
228.7441, 53.10002
266.36957, 53.10002
305.42493, 53.12218
344.78385, 53.12218
382.68284, 49.84867
420.63419, 50.83285
459.87458, 47.94449
499.33463, 46.39246
537.53835, 46.3473
577.40765, 47.95024
615.09193, 47.83859
655.34977, 46.89584
695.32843, 45.86839
733.65466, 45.63115
771.67908, 41.82099
806.77659, 42.68815
848.66482, 41.82099
885.9134, 41.29525
933.56042, 41.02057
980.04481, 40.30006
1026.4667, 40.78506
1072.84669, 39.39655
1119.3526, 39.28597
1165.75355, 38.74904
1212.19407, 37.8941
1258.69922, 37.59596
1302.97197, 37.62575
1340.20939, 35.90902
1375.07502, 37.63557
1414.52746, 37.84745
1454.08472, 35.87297
1493.37203, 36.13224
1531.57837, 35.88248
1569.12181, 34.4249
1606.1661, 34.60962
