time, fithttp://localhost:8888/notebooks/Experimentos%20comasa_vs_segmentsbatchs.ipynb#ness
62.71263, 55.0188
128.75439, 51.79013
187.70134, 46.57488
244.98905, 42.61521
297.20349, 33.48689
356.43478, 38.07527
418.53867, 29.37481
472.44885, 27.99107
536.9044, 27.73481
589.25866, 27.01511
642.41975, 27.37403
697.52355, 26.42536
755.73961, 24.121
810.35658, 24.40457
858.41819, 22.64961
910.79332, 23.24714
966.7675, 22.55394
1025.30364, 21.84681
1080.1322, 21.37521
1134.12737, 21.07025
1181.61886, 20.55175
1244.01345, 20.64322
1309.21597, 21.02868
1368.38309, 19.2861
1428.78265, 19.6081
1489.83528, 19.17676
1546.37075, 19.02361
1610.79553, 19.79873
1676.80667, 18.10987
1737.26227, 18.00709
