time, fithttp://localhost:8888/notebooks/Experimentos%20comasa_vs_segmentsbatchs.ipynb#ness
51.58324, 84.35737
108.42783, 65.15289
153.1607, 56.79363
196.08281, 34.40485
238.76889, 30.11694
290.1799, 29.93448
340.29281, 26.50446
391.62616, 25.07657
440.80028, 26.68362
488.31364, 23.86031
535.5226, 23.03215
583.67818, 23.22524
633.86636, 22.42889
681.731, 23.03255
730.46958, 24.48696
782.74194, 21.15967
832.02927, 20.79179
882.30907, 18.613
939.00264, 18.389
986.41789, 22.07691
1037.7076, 19.61688
1084.89728, 18.52759
1135.19908, 19.69618
1186.55079, 19.15653
1236.10112, 19.17982
1295.46285, 18.61516
1354.83494, 18.21275
1414.16699, 19.0766
1473.42012, 19.16291
1532.90291, 17.71085
