time, fithttp://localhost:8888/notebooks/Experimentos%20comasa_vs_segmentsbatchs.ipynb#ness
19.87338, 27.40002
43.23324, 26.57098
67.74174, 25.83437
93.54578, 26.29734
114.67619, 25.30295
137.22138, 24.7953
161.85037, 24.63408
183.271, 24.46264
205.14329, 24.02506
228.38026, 24.38214
254.50772, 23.72782
276.76835, 23.7646
298.00047, 23.362
322.23968, 23.3195
343.78707, 23.41605
365.15377, 23.14191
386.32417, 23.28121
407.66523, 23.04704
429.34026, 22.84818
451.18348, 22.65972
472.81733, 22.78538
493.6791, 22.79984
515.13378, 22.65138
536.63828, 22.59134
557.77955, 22.6898
579.03725, 22.6723
600.39966, 22.50018
622.67946, 22.62324
647.35514, 22.26907
668.95509, 22.31453
690.74444, 22.38614
712.15065, 22.37555
733.1382, 22.03773
