time, fithttp://localhost:8888/notebooks/Experimentos%20comasa_vs_segmentsbatchs.ipynb#ness
22.61556, 26.98921
46.17718, 25.60982
69.74793, 25.58236
93.47259, 24.36338
117.28748, 24.38318
140.77544, 24.01744
164.58218, 23.81721
192.30409, 23.05889
219.31297, 23.48048
247.86272, 23.44743
275.33929, 22.87043
299.599, 23.71828
327.95168, 22.46687
354.82555, 22.52271
380.3185, 22.21863
411.52918, 21.96097
437.74934, 22.14613
462.18849, 22.49237
489.38525, 22.41517
513.11574, 21.81947
539.51478, 21.74713
563.48745, 22.26613
587.55575, 21.91121
611.32002, 21.54224
635.11916, 21.56328
658.61277, 23.3687
682.28948, 21.38081
706.20895, 21.28166
730.46191, 21.25659
754.07445, 21.32964
