time, fitness
0.0, 98.69402
4.78634, 61.82099
9.39943, 59.42483
13.50306, 54.89304
18.29192, 47.49749
22.86983, 45.10039
27.19164, 44.53993
30.69385, 41.02073
34.44795, 38.76396
38.53804, 37.3397
42.25422, 36.1261
46.55169, 33.27104
50.3246, 28.68575
54.84584, 28.07693
58.18688, 27.83853
61.59917, 26.55347
65.56332, 28.22817
70.0984, 28.36495
74.14312, 26.5696
77.66203, 26.61638
81.74775, 25.63097
85.44059, 27.23403
89.10882, 24.43197
93.04887, 24.66763
97.76632, 23.27637
101.93526, 22.99569
105.7947, 22.40835
108.76184, 23.15823
112.98011, 23.14754
116.44053, 22.71531
119.88066, 24.90616
122.87156, 22.24804
126.18463, 22.07716
129.84521, 22.13893
134.00579, 21.74476
137.91798, 22.39093
142.31903, 21.59635
146.56343, 21.3141
150.74214, 21.10659
153.77449, 20.94819
157.3624, 22.1238
