time, fitness
0.0, 11.32853
10.78882, 11.32853
18.22943, 11.23444
23.55709, 10.62358
28.55714, 9.84906
37.62332, 9.45428
45.72924, 9.28176
51.32398, 8.83601
56.78847, 8.60008
63.45189, 8.56645
71.39787, 8.58883
77.77185, 8.06648
87.38119, 8.00788
95.97039, 7.69092
104.58844, 6.3186
110.70627, 5.98057
119.00325, 5.98057
127.80266, 5.85812
137.60996, 4.9863
146.49987, 4.9863
152.93286, 4.92774
157.14077, 4.92746
163.10763, 4.7968
167.16065, 4.73421
174.12082, 4.64947
184.9862, 4.64947
193.17148, 4.64704
