time, fitness
0.0, 6.74235
3.11554, 6.38408
5.79846, 6.18772
8.93258, 6.09184
11.62325, 6.10743
14.67466, 5.98587
16.75327, 6.03276
18.65356, 5.88453
20.44895, 5.82593
22.30963, 5.79342
24.29936, 5.78025
26.28438, 5.77511
28.4367, 5.76106
30.6011, 5.75356
32.42035, 5.73384
34.10136, 5.70375
35.89798, 5.6298
37.92286, 5.63911
39.69233, 5.5995
41.1515, 5.59074
42.58491, 5.58934
43.95107, 5.57318
44.90415, 5.56989
45.99436, 5.56234
46.87727, 5.58205
48.06351, 5.54924
49.71415, 5.53902
51.56576, 5.51852
53.36693, 5.49962
55.36631, 5.44908
56.99514, 5.44434
58.63553, 5.44959
60.70819, 5.43802
61.79378, 5.43833
62.82022, 5.42707
63.63698, 5.41942
64.97903, 5.3995
66.20784, 5.3995
66.97173, 5.39717
68.06652, 5.39717
69.08675, 5.39859
