time, fitness
0.0, 8.46602
6.34933, 8.21623
9.88568, 7.92317
14.39367, 7.40296
19.54788, 7.02454
24.10895, 7.0002
28.37489, 6.51057
33.46388, 6.23725
37.46775, 6.13228
42.45653, 5.48499
48.8602, 5.48621
53.67068, 5.09427
58.88448, 5.06333
63.88471, 4.97736
68.7414, 4.95095
73.07825, 4.81318
79.00675, 4.74108
83.11124, 4.71248
87.05403, 4.71568
91.75984, 4.43968
95.65002, 4.42891
98.93388, 4.43983
104.99601, 4.40935
108.7438, 4.29331
112.21023, 4.1845
115.625, 4.17002
119.47434, 4.04734
123.3853, 3.98791
128.23219, 3.98219
131.81204, 3.70335
135.89995, 3.68985
138.93788, 3.67306
142.89052, 3.56826
146.69511, 3.54201
150.67623, 3.50718
153.31946, 3.47459
156.71972, 3.44431
160.55863, 3.4404
166.63051, 3.45697
171.50026, 3.37433
176.19127, 3.34384
