time, fitness
0.0, 11.06561
1.90581, 9.41503
2.96131, 9.16409
3.90836, 8.60369
5.07393, 8.7653
6.2468, 8.62941
7.23291, 8.52594
8.05048, 8.45349
9.02751, 8.36849
10.14518, 8.27871
11.29867, 8.13033
12.19947, 8.09081
13.20767, 8.0897
14.11336, 8.05341
14.95884, 7.915
15.82846, 7.88571
16.68171, 7.81235
17.877, 7.86883
19.0951, 8.42482
20.13757, 7.74067
21.23397, 7.71474
22.22042, 7.70449
23.21652, 7.62633
24.15159, 7.53304
25.15589, 7.49423
26.1592, 7.45627
27.20681, 7.44855
28.10875, 7.43782
28.94128, 7.69839
29.72942, 7.38332
30.52574, 7.36565
31.48, 8.04143
32.4614, 7.38667
33.39014, 7.35649
34.25577, 7.37702
35.13102, 7.57555
36.12261, 7.30835
37.11481, 9.42486
38.12155, 7.24259
39.18474, 7.77371
40.02763, 7.52182
