time, fitness
0.0, 1.04818
3.97105, 0.85927
6.87549, 0.82852
9.31865, 0.81227
11.36856, 0.78583
13.36584, 0.77978
15.30261, 0.7636
17.6692, 0.75761
19.93608, 0.75203
22.29798, 0.741
23.97464, 0.73239
26.81122, 0.72581
28.63565, 0.72476
30.90011, 0.72001
32.92434, 0.71544
35.08382, 0.70232
37.08102, 0.68753
39.43497, 0.68427
41.34401, 0.68737
43.5133, 0.68239
46.0265, 0.67756
48.08519, 0.67226
49.98402, 0.67065
51.89145, 0.67217
53.65382, 0.67344
55.36361, 0.67008
57.3, 0.6693
59.44466, 0.66956
61.11509, 0.66683
63.02762, 0.6671
64.99971, 0.6661
66.58745, 0.66597
68.45861, 0.66597
69.95773, 0.66602
71.83291, 0.66422
73.51844, 0.66156
75.5153, 0.66063
77.69715, 0.66015
80.11115, 0.65892
81.65897, 0.65703
83.66564, 0.65671
