time, fitness
0.0, 6.87307
2.43739, 6.45484
4.13363, 6.19291
6.34538, 6.08329
8.15987, 5.9836
10.2233, 5.82671
12.18713, 5.77293
13.6083, 5.71261
15.46488, 5.6512
16.84739, 5.52023
18.70648, 5.46228
20.24379, 5.31499
21.80178, 5.2749
23.26813, 5.26456
24.67395, 5.25673
26.27449, 5.23887
28.56056, 5.23506
30.55718, 5.18495
32.4475, 5.18212
33.95576, 5.1598
35.86974, 5.03547
37.67651, 5.03097
39.36282, 5.00354
40.51739, 5.0025
42.03899, 4.93884
43.73649, 4.90982
45.30284, 4.9222
47.02225, 4.8391
48.25762, 4.85508
49.58929, 4.83852
50.96165, 4.81091
51.94698, 4.81101
53.10252, 4.80929
54.48946, 4.83107
55.71607, 4.77215
56.88082, 4.7695
58.13188, 4.76413
59.18166, 4.73293
60.41037, 4.77731
61.8619, 4.74599
63.45769, 4.73236
