time, fitness
0.0, 79.32573
4.879, 76.57815
8.10175, 76.17567
11.84112, 73.49856
16.8898, 72.60849
21.18964, 69.10652
25.3364, 68.94732
28.88463, 68.86673
33.03137, 65.32606
37.51919, 63.94727
42.6373, 62.78061
47.35473, 59.34788
52.10166, 56.73953
57.05963, 54.64574
61.89353, 52.73327
65.26943, 51.82243
70.06132, 50.7603
73.74671, 49.3617
78.38096, 46.49715
83.23067, 46.34487
88.22205, 44.36857
92.22737, 42.53172
95.69495, 42.10029
100.47995, 39.51285
104.58785, 38.18964
108.32135, 37.1915
111.49223, 36.12368
114.97388, 35.64614
119.59705, 35.40464
124.092, 32.57705
128.82539, 31.70926
133.44433, 29.202
137.29546, 28.03325
141.31196, 28.02812
146.23883, 25.69581
150.20358, 25.48017
154.75668, 23.57301
159.40716, 23.72746
163.92311, 23.44804
168.5022, 22.7861
171.38178, 22.52763
