time, fitness
0.0, 14.28408
5.09071, 14.03992
9.23157, 13.23165
12.8574, 12.26929
15.60554, 12.23224
18.95351, 12.18691
24.46053, 11.43858
29.02126, 11.43858
36.3708, 11.16496
42.38899, 11.06089
48.23858, 10.86708
52.63199, 10.74751
57.05054, 10.65498
61.73605, 10.71075
68.54946, 10.60012
73.21491, 10.55729
77.88793, 10.45023
81.26401, 10.29255
82.95357, 10.38205
84.54868, 10.28728
86.67618, 10.3298
89.42762, 10.2943
92.62586, 10.27812
95.86952, 10.22109
99.76364, 10.07071
104.13792, 10.12903
108.08975, 10.03394
110.14442, 10.03394
113.14044, 9.89863
115.98434, 9.89863
119.70077, 9.98498
124.81998, 9.79475
129.20692, 9.84352
133.55795, 9.69506
137.12162, 9.69506
141.90469, 9.69359
144.28598, 9.64747
148.3187, 9.68937
152.35729, 9.64767
155.53217, 9.69577
159.86745, 9.61476
