time, fitness
0.0, 13.56883
4.95759, 10.18065
9.42691, 8.12122
13.34612, 7.32457
17.53179, 7.41671
21.74246, 7.18905
26.62917, 6.93502
31.1361, 6.61709
35.68122, 6.22301
39.72553, 7.67683
43.58873, 7.46722
48.03468, 6.02887
51.46799, 5.97129
55.27483, 5.82553
59.53579, 5.77902
63.37562, 5.7174
66.78289, 5.6798
72.8992, 5.69842
77.30906, 5.35338
80.47468, 5.32042
84.04623, 5.06425
88.53086, 6.46446
93.00236, 7.9483
96.66097, 7.82017
99.74856, 7.831
103.72963, 7.73825
108.35565, 7.72054
111.23411, 6.22262
114.5773, 5.97837
118.13068, 5.89335
121.75152, 6.17409
125.04257, 5.93486
128.07203, 5.89988
131.46143, 5.81442
134.96879, 5.79078
138.49602, 8.12892
142.24876, 5.77625
146.0022, 7.74235
149.03847, 7.73613
151.9724, 7.57718
155.51433, 7.65174
