time, fitness
0.0, 27.91913
9.1587, 26.66945
17.85109, 26.28899
25.67022, 25.56062
34.89104, 25.24047
41.78732, 25.11965
47.37806, 25.10857
53.44925, 24.01132
59.48262, 23.30096
65.7646, 23.30096
71.87762, 21.20744
78.66995, 21.20744
84.6062, 21.14354
89.49571, 21.11874
94.80659, 20.98672
100.32963, 20.84393
107.07935, 20.84617
111.51225, 20.32468
117.82268, 19.81977
126.35012, 19.52823
132.14187, 19.3705
138.44333, 19.3705
144.34649, 19.04649
149.84177, 18.86273
156.34724, 19.07168
163.14097, 18.86273
166.81413, 18.83338
