time, fitness
0.0, 17.78066
4.85017, 16.63985
7.55797, 17.25823
12.9834, 15.21775
18.3934, 14.21993
23.05493, 14.10836
27.13128, 12.95269
30.35922, 12.95269
35.16195, 11.73837
38.87552, 11.73682
43.52215, 11.499
48.76464, 11.33304
55.62372, 11.3566
59.24849, 11.15438
63.68611, 11.15
68.61649, 10.80921
71.24586, 10.68154
75.00133, 10.66378
78.26073, 10.78728
81.77937, 10.61403
85.05769, 10.34001
89.17574, 10.34001
91.88933, 10.30285
93.70778, 10.17535
97.42417, 10.17535
101.48803, 10.15045
105.18233, 10.00847
109.1181, 9.90312
112.66176, 9.88137
116.16528, 9.88993
120.01982, 9.59609
124.22895, 9.59609
128.63397, 9.57877
132.30339, 9.54908
135.42803, 9.45456
138.77965, 9.33676
142.62777, 9.001
146.17043, 9.001
148.73023, 8.99934
151.21504, 8.9628
153.48544, 8.94117
