time, fitness
0.0, 28.7398
10.21241, 27.2904
16.78662, 25.08918
26.25139, 24.90903
35.28977, 24.03839
44.77246, 22.75713
52.79364, 21.34618
60.30001, 19.03747
68.64695, 18.68599
77.08759, 18.68446
84.04824, 18.68446
87.40849, 18.04173
94.80475, 18.01352
105.26038, 17.61907
115.6677, 17.53863
124.19666, 17.42812
132.63978, 16.4787
140.76858, 15.88055
149.60771, 15.85751
157.04148, 15.85751
161.83505, 15.6263
168.5547, 15.42626
182.14284, 15.33096
189.307, 15.04404
197.56268, 15.24299
205.27643, 14.81426
217.51733, 14.47861
