time, fitness
0.0, 15.84787
6.35393, 14.93655
10.67019, 14.60414
16.40919, 14.34857
22.52818, 14.27453
29.3682, 13.97335
36.28496, 13.92439
42.28336, 13.7807
47.99829, 13.56691
54.62536, 13.53075
60.95606, 13.28817
66.54261, 13.29398
71.53165, 12.89329
78.06241, 12.89329
82.63898, 12.72968
87.04428, 12.66619
92.69261, 12.65777
97.63194, 12.63717
103.23793, 12.51466
109.21312, 12.53271
113.52562, 12.50478
117.59133, 12.28196
121.00123, 12.28196
125.37786, 12.0913
131.20681, 12.05554
137.55867, 11.89619
143.07401, 11.75748
