time, fitness
0.0, 7.41778
3.08828, 6.54773
4.81118, 6.45669
6.18217, 6.56294
8.46329, 6.45787
9.65138, 6.32984
11.04871, 6.29987
13.00924, 6.25876
15.08623, 6.2212
17.00294, 6.15809
18.59878, 6.13372
20.31777, 6.18176
21.77147, 6.04951
23.4583, 6.01443
24.84441, 6.00038
26.35384, 5.94128
27.5193, 5.94096
29.0584, 5.84104
30.58636, 5.83355
32.49669, 5.76505
34.5272, 5.7762
36.34834, 5.72206
37.76208, 5.68715
39.27169, 5.57397
40.73166, 5.56068
42.02107, 5.54851
43.51293, 5.50555
45.43436, 5.46013
47.15792, 5.36195
48.51058, 5.33937
49.80609, 5.34702
51.11333, 5.29726
52.43479, 5.27433
53.97592, 5.29039
55.63541, 5.24964
57.11737, 5.23565
58.73373, 5.21711
60.25613, 5.20448
62.00494, 5.20345
63.41342, 5.17701
64.66356, 5.16324
