time, fitness
0.0, 30.56843
7.95855, 30.56843
12.74659, 26.824
19.40254, 26.29708
26.11811, 24.71867
31.97374, 24.71039
39.59825, 24.19789
45.79352, 23.32972
53.02325, 23.32715
57.86167, 22.46885
61.09178, 21.85453
64.19939, 21.85453
68.41881, 21.45525
73.38726, 21.34031
81.23806, 20.99253
86.20861, 20.94064
91.95047, 20.18876
96.82081, 20.18876
101.93444, 20.15993
105.68531, 18.99606
109.96286, 18.99425
114.30127, 18.9396
118.37413, 18.93847
126.43664, 18.91762
130.07862, 18.96302
133.39421, 18.5647
138.36447, 18.56945
