time, fitness
0.0, 21.10029
5.37588, 9.47737
10.14319, 7.79927
14.7739, 6.15198
19.83464, 5.492
23.22008, 5.04021
27.12456, 4.27068
32.12167, 3.67939
35.92191, 3.41362
39.60078, 3.22819
44.32369, 3.07014
48.64789, 3.03776
53.79404, 3.34553
58.03428, 3.31789
62.77522, 3.09263
67.5903, 2.73245
71.47991, 2.72266
77.58092, 2.59839
83.09649, 3.34474
89.7964, 2.60791
94.73357, 2.58126
99.12948, 2.63299
103.2568, 2.62454
107.75834, 2.62054
113.89865, 2.90842
118.54012, 2.4085
123.68811, 2.40024
128.86096, 2.48838
131.99595, 2.55206
136.1032, 2.52908
143.60059, 2.37227
149.01851, 2.39654
154.10666, 2.37121
159.44149, 2.37774
164.00182, 2.36782
169.0041, 2.50386
174.40764, 2.45685
177.70084, 2.46482
182.91391, 2.43973
188.28479, 2.67959
193.21909, 2.46348
