time, fitness
0.0, 1.30908
0.81088, 1.27285
1.53516, 1.23643
2.33205, 1.26121
2.7745, 1.22138
3.33127, 1.19123
3.80635, 1.1748
4.56418, 1.1982
5.43558, 1.17791
5.764, 1.16928
6.05975, 1.16928
6.28761, 1.16928
6.54432, 1.16615
6.73254, 1.15775
7.01543, 1.15242
7.57764, 1.13857
8.03449, 1.1599
8.47252, 1.10567
9.14378, 1.10567
9.72262, 1.10413
10.01199, 1.10116
10.42388, 1.10116
10.91594, 1.09972
11.6746, 1.09796
12.30662, 1.09666
12.82669, 1.09666
13.11784, 1.09666
13.46846, 1.09666
13.84406, 1.09027
14.41802, 1.09027
15.1468, 1.08295
15.70798, 1.08671
16.58374, 1.07514
17.47513, 1.07554
18.05902, 1.07107
18.38416, 1.06855
18.80909, 1.06729
19.14445, 1.06113
19.63135, 1.05604
20.32671, 1.05534
20.80831, 1.05849
