time, fitness
0.0, 9.08473
1.58427, 8.81615
2.38934, 8.76976
3.25352, 8.78569
4.12817, 8.77679
4.94033, 8.75901
5.88871, 8.55541
6.83669, 8.49135
7.66057, 8.47967
8.6131, 8.4196
9.86774, 8.37863
11.06554, 8.26972
11.90006, 8.26632
12.64654, 8.24005
13.61745, 8.17736
14.68278, 8.1047
15.62389, 8.07756
16.38362, 8.00132
17.2369, 7.98037
18.03939, 7.97874
18.94822, 7.9306
19.8534, 7.98336
20.70399, 7.92199
21.55209, 7.91793
22.23479, 7.92207
23.05629, 7.87184
23.94357, 7.8646
24.92677, 7.85891
25.89472, 7.74877
26.78966, 7.72353
27.68363, 7.69187
28.62261, 7.70468
29.37143, 7.95387
30.43752, 7.88219
31.48914, 7.55302
32.3221, 7.54683
33.16606, 7.50212
34.16936, 7.49022
35.20215, 7.49303
36.31005, 7.44566
37.31444, 7.42337
