time, fitness
0.0, 38.52894
5.37832, 26.03382
12.89682, 21.51969
18.81096, 19.81024
24.91221, 17.63622
30.69424, 16.69076
37.01054, 13.77903
43.07709, 13.24034
48.17782, 12.26379
54.35143, 12.39747
58.50183, 11.9222
63.92041, 11.88811
69.36454, 11.59837
74.89894, 11.3492
80.26043, 11.47706
85.27285, 12.59346
90.80258, 11.25907
95.67603, 11.17144
101.49473, 10.82382
106.6852, 11.67755
111.55387, 11.23531
117.16285, 11.33306
122.65161, 11.17729
127.3065, 11.14643
131.21427, 11.07543
136.41231, 10.9259
141.84136, 10.74232
146.71987, 10.74282
151.87315, 10.71507
156.49688, 11.16564
161.50127, 10.14553
166.17748, 10.19495
169.07286, 10.04451
172.80596, 9.8852
176.62487, 9.92113
180.51665, 10.7552
184.51155, 9.87535
187.94423, 9.88598
190.75786, 9.89948
195.22221, 9.85766
198.92324, 9.87409
