time, fitness
0.0, 27.86908
6.16131, 22.84596
11.2028, 21.28225
14.99786, 20.17579
20.05219, 19.98909
23.95184, 17.64114
27.52716, 16.94146
32.02548, 16.53333
36.06615, 15.50424
40.18353, 15.18578
45.15949, 15.23819
49.43681, 14.71043
53.83654, 14.48323
57.54976, 14.17577
61.83942, 14.10982
65.78511, 13.6799
69.21308, 13.29759
72.96511, 13.1564
77.43984, 13.07511
82.36063, 12.79246
87.03905, 12.55276
91.93912, 11.90216
96.49559, 12.51981
101.5349, 11.85329
104.15354, 11.3729
107.21021, 11.42101
110.25971, 11.20958
113.45695, 10.91158
118.08719, 10.52044
122.18347, 10.50677
126.81239, 10.79218
130.06071, 10.45813
132.87351, 9.73598
136.97606, 9.57081
140.12296, 9.46079
144.65316, 9.15876
148.36929, 8.92754
152.18179, 8.5894
156.55073, 8.58727
160.73317, 8.66025
164.54401, 8.35513
